1       input:0	value:5000	    output:1
2	    input:0	value:4000      output:2
3	    input:0	value:5040	    output:3
4	    input:0	value:6000	    output:4
5	    input:0	value:7000	    output:5
6	    input:0	value:8000	    output:6
7 input:1 previoustx:1 outputindex:1 value1:1666.6666666666667 output1:3 value2:1666.6666666666667 output2:4 value3:1666.6666666666667 output3:1
8 input:2 previoustx:2 outputindex:1 value1:1333.3333333333333 output1:4 value2:1333.3333333333333 output2:5 value3:1333.3333333333333 output3:2
9 input:3 previoustx:3 outputindex:1 value1:1680.0 output1:5 value2:1680.0 output2:1 value3:1680.0 output3:3
10 input:4 previoustx:4 outputindex:1 value1:2000.0 output1:1 value2:2000.0 output2:2 value3:2000.0 output3:4
11 input:5 previoustx:5 outputindex:1 value1:2333.3333333333335 output1:2 value2:2333.3333333333335 output2:3 value3:2333.3333333333335 output3:5
12 input:6 previoustx:6 outputindex:1 value1:2666.6666666666665 output1:3 value2:2666.6666666666665 output2:4 value3:2666.6666666666665 output3:6
13 input:3 previoustx:7 outputindex:1 value1:555.5555555555555 output1:5 value2:555.5555555555555 output2:1 value3:555.5555555555555 output3:3
14 input:4 previoustx:7 outputindex:2 value1:555.5555555555555 output1:1 value2:555.5555555555555 output2:2 value3:555.5555555555555 output3:4
15 input:1 previoustx:7 outputindex:3 value1:555.5555555555555 output1:3 value2:555.5555555555555 output2:4 value3:555.5555555555555 output3:1
16 input:4 previoustx:8 outputindex:1 value1:444.4444444444444 output1:1 value2:444.4444444444444 output2:2 value3:444.4444444444444 output3:4
17 input:5 previoustx:8 outputindex:2 value1:444.4444444444444 output1:2 value2:444.4444444444444 output2:3 value3:444.4444444444444 output3:5
18 input:2 previoustx:8 outputindex:3 value1:444.4444444444444 output1:4 value2:444.4444444444444 output2:5 value3:444.4444444444444 output3:2
19 input:5 previoustx:9 outputindex:1 value1:560.0 output1:2 value2:560.0 output2:3 value3:560.0 output3:5
20 input:1 previoustx:9 outputindex:2 value1:560.0 output1:3 value2:560.0 output2:4 value3:560.0 output3:1
21 input:3 previoustx:9 outputindex:3 value1:560.0 output1:5 value2:560.0 output2:1 value3:560.0 output3:3
22 input:1 previoustx:10 outputindex:1 value1:666.6666666666666 output1:3 value2:666.6666666666666 output2:4 value3:666.6666666666666 output3:1
23 input:2 previoustx:10 outputindex:2 value1:666.6666666666666 output1:4 value2:666.6666666666666 output2:5 value3:666.6666666666666 output3:2
24 input:4 previoustx:10 outputindex:3 value1:666.6666666666666 output1:1 value2:666.6666666666666 output2:2 value3:666.6666666666666 output3:4
25 input:2 previoustx:11 outputindex:1 value1:777.7777777777778 output1:4 value2:777.7777777777778 output2:5 value3:777.7777777777778 output3:2
26 input:3 previoustx:11 outputindex:2 value1:777.7777777777778 output1:5 value2:777.7777777777778 output2:1 value3:777.7777777777778 output3:3
27 input:5 previoustx:11 outputindex:3 value1:777.7777777777778 output1:2 value2:777.7777777777778 output2:3 value3:777.7777777777778 output3:5
28 input:3 previoustx:12 outputindex:1 value1:888.8888888888888 output1:5 value2:888.8888888888888 output2:1 value3:888.8888888888888 output3:3
29 input:4 previoustx:12 outputindex:2 value1:888.8888888888888 output1:1 value2:888.8888888888888 output2:2 value3:888.8888888888888 output3:4
30 input:6 previoustx:12 outputindex:3 value1:888.8888888888888 output1:3 value2:888.8888888888888 output2:4 value3:888.8888888888888 output3:6
