35 input:2 previoustx:14 outputindex:2 value1:185.1851851851852 output1:4 value2:185.1851851851852 output2:5 value3:185.1851851851852 output3:2
41 input:2 previoustx:16 outputindex:2 value1:148.14814814814812 output1:4 value2:148.14814814814812 output2:5 value3:148.14814814814812 output3:2
43 input:2 previoustx:17 outputindex:1 value1:148.14814814814812 output1:4 value2:148.14814814814812 output2:5 value3:148.14814814814812 output3:2
48 input:2 previoustx:18 outputindex:3 value1:148.14814814814812 output1:4 value2:148.14814814814812 output2:5 value3:148.14814814814812 output3:2
49 input:2 previoustx:19 outputindex:1 value1:186.66666666666666 output1:4 value2:186.66666666666666 output2:5 value3:186.66666666666666 output3:2
63 input:2 previoustx:23 outputindex:3 value1:222.2222222222222 output1:4 value2:222.2222222222222 output2:5 value3:222.2222222222222 output3:2
65 input:2 previoustx:24 outputindex:2 value1:222.2222222222222 output1:4 value2:222.2222222222222 output2:5 value3:222.2222222222222 output3:2
69 input:2 previoustx:25 outputindex:3 value1:259.2592592592593 output1:4 value2:259.2592592592593 output2:5 value3:259.2592592592593 output3:2
73 input:2 previoustx:27 outputindex:1 value1:259.2592592592593 output1:4 value2:259.2592592592593 output2:5 value3:259.2592592592593 output3:2
80 input:2 previoustx:29 outputindex:2 value1:296.29629629629625 output1:4 value2:296.29629629629625 output2:5 value3:296.29629629629625 output3:2
85 input:2 previoustx:31 outputindex:1 value1:61.7283950617284 output1:4 value2:61.7283950617284 output2:5 value3:61.7283950617284 output3:2
99 input:2 previoustx:35 outputindex:3 value1:61.7283950617284 output1:4 value2:61.7283950617284 output2:5 value3:61.7283950617284 output3:2
101 input:2 previoustx:36 outputindex:2 value1:61.7283950617284 output1:4 value2:61.7283950617284 output2:5 value3:61.7283950617284 output3:2
107 input:2 previoustx:38 outputindex:2 value1:61.7283950617284 output1:4 value2:61.7283950617284 output2:5 value3:61.7283950617284 output3:2
117 input:2 previoustx:41 outputindex:3 value1:49.38271604938271 output1:4 value2:49.38271604938271 output2:5 value3:49.38271604938271 output3:2
119 input:2 previoustx:42 outputindex:2 value1:49.38271604938271 output1:4 value2:49.38271604938271 output2:5 value3:49.38271604938271 output3:2
123 input:2 previoustx:43 outputindex:3 value1:49.38271604938271 output1:4 value2:49.38271604938271 output2:5 value3:49.38271604938271 output3:2
127 input:2 previoustx:45 outputindex:1 value1:49.38271604938271 output1:4 value2:49.38271604938271 output2:5 value3:49.38271604938271 output3:2
131 input:2 previoustx:46 outputindex:2 value1:49.38271604938271 output1:4 value2:49.38271604938271 output2:5 value3:49.38271604938271 output3:2
133 input:2 previoustx:47 outputindex:1 value1:49.38271604938271 output1:4 value2:49.38271604938271 output2:5 value3:49.38271604938271 output3:2
138 input:2 previoustx:48 outputindex:3 value1:49.38271604938271 output1:4 value2:49.38271604938271 output2:5 value3:49.38271604938271 output3:2
141 input:2 previoustx:49 outputindex:3 value1:62.22222222222222 output1:4 value2:62.22222222222222 output2:5 value3:62.22222222222222 output3:2
145 input:2 previoustx:51 outputindex:1 value1:62.22222222222222 output1:4 value2:62.22222222222222 output2:5 value3:62.22222222222222 output3:2
152 input:2 previoustx:53 outputindex:2 value1:62.22222222222222 output1:4 value2:62.22222222222222 output2:5 value3:62.22222222222222 output3:2
157 input:2 previoustx:55 outputindex:1 value1:62.22222222222222 output1:4 value2:62.22222222222222 output2:5 value3:62.22222222222222 output3:2
170 input:2 previoustx:59 outputindex:2 value1:74.07407407407406 output1:4 value2:74.07407407407406 output2:5 value3:74.07407407407406 output3:2
176 input:2 previoustx:61 outputindex:2 value1:74.07407407407406 output1:4 value2:74.07407407407406 output2:5 value3:74.07407407407406 output3:2
178 input:2 previoustx:62 outputindex:1 value1:74.07407407407406 output1:4 value2:74.07407407407406 output2:5 value3:74.07407407407406 output3:2
183 input:2 previoustx:63 outputindex:3 value1:74.07407407407406 output1:4 value2:74.07407407407406 output2:5 value3:74.07407407407406 output3:2
189 input:2 previoustx:65 outputindex:3 value1:74.07407407407406 output1:4 value2:74.07407407407406 output2:5 value3:74.07407407407406 output3:2
191 input:2 previoustx:66 outputindex:2 value1:74.07407407407406 output1:4 value2:74.07407407407406 output2:5 value3:74.07407407407406 output3:2
194 input:2 previoustx:67 outputindex:2 value1:86.41975308641976 output1:4 value2:86.41975308641976 output2:5 value3:86.41975308641976 output3:2
196 input:2 previoustx:68 outputindex:1 value1:86.41975308641976 output1:4 value2:86.41975308641976 output2:5 value3:86.41975308641976 output3:2
201 input:2 previoustx:69 outputindex:3 value1:86.41975308641976 output1:4 value2:86.41975308641976 output2:5 value3:86.41975308641976 output3:2
202 input:2 previoustx:70 outputindex:1 value1:86.41975308641976 output1:4 value2:86.41975308641976 output2:5 value3:86.41975308641976 output3:2
213 input:2 previoustx:73 outputindex:3 value1:86.41975308641976 output1:4 value2:86.41975308641976 output2:5 value3:86.41975308641976 output3:2
217 input:2 previoustx:75 outputindex:1 value1:86.41975308641976 output1:4 value2:86.41975308641976 output2:5 value3:86.41975308641976 output3:2
220 input:2 previoustx:76 outputindex:1 value1:98.76543209876542 output1:4 value2:98.76543209876542 output2:5 value3:98.76543209876542 output3:2
234 input:2 previoustx:80 outputindex:3 value1:98.76543209876542 output1:4 value2:98.76543209876542 output2:5 value3:98.76543209876542 output3:2
236 input:2 previoustx:81 outputindex:2 value1:98.76543209876542 output1:4 value2:98.76543209876542 output2:5 value3:98.76543209876542 output3:2
242 input:2 previoustx:83 outputindex:2 value1:98.76543209876542 output1:4 value2:98.76543209876542 output2:5 value3:98.76543209876542 output3:2
249 input:2 previoustx:85 outputindex:3 value1:20.5761316872428 output1:4 value2:20.5761316872428 output2:5 value3:20.5761316872428 output3:2
253 input:2 previoustx:87 outputindex:1 value1:20.5761316872428 output1:4 value2:20.5761316872428 output2:5 value3:20.5761316872428 output3:2
260 input:2 previoustx:89 outputindex:2 value1:20.5761316872428 output1:4 value2:20.5761316872428 output2:5 value3:20.5761316872428 output3:2
265 input:2 previoustx:91 outputindex:1 value1:20.5761316872428 output1:4 value2:20.5761316872428 output2:5 value3:20.5761316872428 output3:2
278 input:2 previoustx:95 outputindex:2 value1:20.5761316872428 output1:4 value2:20.5761316872428 output2:5 value3:20.5761316872428 output3:2
284 input:2 previoustx:97 outputindex:2 value1:20.5761316872428 output1:4 value2:20.5761316872428 output2:5 value3:20.5761316872428 output3:2
286 input:2 previoustx:98 outputindex:1 value1:20.5761316872428 output1:4 value2:20.5761316872428 output2:5 value3:20.5761316872428 output3:2
291 input:2 previoustx:99 outputindex:3 value1:20.5761316872428 output1:4 value2:20.5761316872428 output2:5 value3:20.5761316872428 output3:2
297 input:2 previoustx:101 outputindex:3 value1:20.5761316872428 output1:4 value2:20.5761316872428 output2:5 value3:20.5761316872428 output3:2
299 input:2 previoustx:102 outputindex:2 value1:20.5761316872428 output1:4 value2:20.5761316872428 output2:5 value3:20.5761316872428 output3:2
301 input:2 previoustx:103 outputindex:1 value1:20.5761316872428 output1:4 value2:20.5761316872428 output2:5 value3:20.5761316872428 output3:2
315 input:2 previoustx:107 outputindex:3 value1:20.5761316872428 output1:4 value2:20.5761316872428 output2:5 value3:20.5761316872428 output3:2
317 input:2 previoustx:108 outputindex:2 value1:20.5761316872428 output1:4 value2:20.5761316872428 output2:5 value3:20.5761316872428 output3:2
323 input:2 previoustx:110 outputindex:2 value1:20.5761316872428 output1:4 value2:20.5761316872428 output2:5 value3:20.5761316872428 output3:2
332 input:2 previoustx:113 outputindex:2 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
338 input:2 previoustx:115 outputindex:2 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
340 input:2 previoustx:116 outputindex:1 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
345 input:2 previoustx:117 outputindex:3 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
351 input:2 previoustx:119 outputindex:3 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
353 input:2 previoustx:120 outputindex:2 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
356 input:2 previoustx:121 outputindex:2 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
358 input:2 previoustx:122 outputindex:1 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
363 input:2 previoustx:123 outputindex:3 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
364 input:2 previoustx:124 outputindex:1 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
375 input:2 previoustx:127 outputindex:3 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
